,FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry,best_solution,select_freq,status
144,144,,,,,,,,148941140.4,,,23026945.04,,,,,,5794444.647,,,9782580.936,"POLYGON ((147.5265884834893 -18.51042340227929, 147.5969645409306 -18.47301178288128, 147.6663120211606 -18.51211563254398, 147.6653182526096 -18.58866097478968, 147.5949041663747 -18.62610161360636, 147.5255218791636 -18.58696787595689, 147.5265884834893 -18.51042340227929))",0,30,0
145,145,,,,,,,,19911957.23,,,167633456.3,,,,,,,,,,"POLYGON ((147.6663120211606 -18.51211563254398, 147.7366532691325 -18.47464376248615, 147.8060386643522 -18.51368819775468, 147.8051177364357 -18.5902343471654, 147.7347385711043 -18.62773526894616, 147.6653182526096 -18.58866097478968, 147.6663120211606 -18.51211563254398))",1,35,0
146,146,,,,,,,,,,,161241188,,,,,,,,,1905729.625,"POLYGON ((147.8060386643522 -18.51368819775468, 147.8763449867386 -18.47615610578955, 147.9457681854992 -18.51514109412771, 147.9449201027209 -18.5916879892945, 147.8745759746018 -18.6292491651724, 147.8051177364357 -18.5902343471654, 147.8060386643522 -18.51368819775468))",0,29,0
147,147,,,,,,,,,,,44635267.26,,,,,,,,,,"POLYGON ((147.9457681854992 -18.51514109412771, 148.0160394663477 -18.47754880915442, 148.0855003570087 -18.51647431816707, 148.0847251235162 -18.59302189767592, 148.0144161487536 -18.63064329863693, 147.9449201027209 -18.5916879892945, 147.9457681854992 -18.51514109412771))",0,1,0
148,148,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0855003570087 -18.51647431816707, 148.155736480531 -18.47882186923118, 148.2252349512616 -18.51768786666479, 148.2245325708465 -18.59423606909658, 148.1542588654189 -18.63191766598014, 148.0847251235162 -18.59302189767592, 148.0855003570087 -18.51647431816707))",0,0,0
149,149,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.2252349512616 -18.51768786666479, 148.2954358018353 -18.47997528295801, 148.3649717406152 -18.51878173670044, 148.3643422167129 -18.59533050063193, 148.2941038964321 -18.6330722641309, 148.2245325708465 -18.59423606909658, 148.2252349512616 -18.51768786666479))",0,0,0
150,150,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.3649717406152 -18.51878173670044, 148.4351372027847 -18.48100904756064, 148.5047104974054 -18.51975592564178, 148.504153833095 -18.59630518964562, 148.433951013605 -18.63410709030678, 148.3643422167129 -18.59533050063193, 148.3649717406152 -18.51878173670044))",0,0,0
151,151,,,,,,,,,,,,55651775.98,,,,,,,,,"POLYGON ((146.0624789728689 -18.37063273436486, 146.1331575798627 -18.33385382455871, 146.2020471692774 -18.37357888042057, 146.2002916807542 -18.45011299595411, 146.1295739501203 -18.48692055976393, 146.0606508345636 -18.44716533928635, 146.0624789728689 -18.37063273436486))",0,3,0
152,152,,,,,,,168699228.3,,,,,17589534.62,,1230587.155,,,,,,,"POLYGON ((146.2020471692774 -18.37357888042057, 146.2726922457894 -18.33673947397733, 146.3416208455271 -18.37640551037654, 146.3399380153506 -18.45294107529552, 146.2692539242938 -18.48980916918327, 146.2002916807542 -18.45011299595411, 146.2020471692774 -18.37357888042057))",0,26,0
153,153,,,89649205.45,,,,52351284.8,,,,,,,586147.9603,,,,,,,"POLYGON ((146.3416208455271 -18.37640551037654, 146.4122322740741 -18.33950563446025, 146.4811997750133 -18.37911261744591, 146.4795896113948 -18.45564957051351, 146.4089392776011 -18.49257816720339, 146.3399380153506 -18.45294107529552, 146.3416208455271 -18.37640551037654))",0,14,0
154,154,,,,,,,,,,,,,,,,,,,,,"POLYGON ((146.4811997750133 -18.37911261744591, 146.5517774382628 -18.34215229936875, 146.6207837310802 -18.38170019512811, 146.6192462418768 -18.45823847509789, 146.5486297828809 -18.4952275471656, 146.4795896113948 -18.45564957051351, 146.4811997750133 -18.37911261744591))",0,0,0
155,155,,,,,,,,62431988.51,,,,,,,,,61194711.92,,,,"POLYGON ((146.6207837310802 -18.38170019512811, 146.6913275118517 -18.34467946235049, 146.7603724870229 -18.38416823720952, 146.7589076797377 -18.4607077828254, 146.6883252129211 -18.49775730269842, 146.6192462418768 -18.45823847509789, 146.6207837310802 -18.38170019512811))",0,15,0
156,156,,,,,,,,142926726.1,,,,,,,,,44594616.34,,,,"POLYGON ((146.7603724870229 -18.38416823720952, 146.8308822682891 -18.34708711733955, 146.8999658160898 -18.38651673776284, 146.8985736978719 -18.46305748776, 146.8280253404619 -18.50016742771766, 146.7589076797377 -18.4607077828254, 146.7603724870229 -18.38416823720952))",0,28,0
157,157,,,,,,,,175487821.9,,,,,,,,,12033960.27,,,,"POLYGON ((146.8999658160898 -18.38651673776284, 146.9704414809773 -18.34937525855653, 147.0395634914847 -18.38874569114774, 147.0382440691287 -18.46528758425281, 146.9677299381976 -18.50245791642633, 146.8985736978719 -18.46305748776, 146.8999658160898 -18.38651673776284))",0,20,0
158,158,,,,,,,,161193219.5,,,,,,,,,26328979.14,,,,"POLYGON ((147.0395634914847 -18.38874569114774, 147.1100049232757 -18.35154388050847, 147.1791652863687 -18.39085509201053, 147.1779185663152 -18.46739806694198, 147.1074387787785 -18.50462876331502, 147.0382440691287 -18.46528758425281, 147.0395634914847 -18.38874569114774))",0,22,0
159,159,,,,,,,,185502290.2,,,1456230.722,,,,,,,,,564071.0689,"POLYGON ((147.1791652863687 -18.39085509201053, 147.249572368502 -18.35359297798914, 147.3187709738631 -18.39284493528436, 147.3175969621979 -18.46938893075331, 147.2471516348137 -18.50667996316184, 147.1779185663152 -18.46739806694198, 147.1791652863687 -18.39085509201053))",0,18,0
160,160,,,,,,,,151963138,,,28572042.79,,,,,,,,,6987781.435,"POLYGON ((147.3187709738631 -18.39284493528436, 147.3891435899351 -18.35552254607892, 147.458380327051 -18.39471521618963, 147.4572790295054 -18.47126017089961, 147.386868278873 -18.50861151103221, 147.3175969621979 -18.46938893075331, 147.3187709738631 -18.39284493528436))",0,24,0
161,161,,,,,,,,91500819.26,,,84882989.19,,,,,,,,,11139500.84,"POLYGON ((147.458380327051 -18.39471521618963, 147.5287183608172 -18.35733258014487, 147.5979931189798 -18.39646593023327, 147.5969645409306 -18.47301178288128, 147.5265884834893 -18.51042340227929, 147.4572790295054 -18.47126017089961, 147.458380327051 -18.39471521618963))",0,38,0
162,162,,,,,,,,,,,182983022.3,,,,,,,,,,"POLYGON ((147.5979931189798 -18.39646593023327, 147.6682964543554 -18.359023075841, 147.7376091226633 -18.39809707320956, 147.7366532691325 -18.47464376248615, 147.6663120211606 -18.51211563254398, 147.5969645409306 -18.47301178288128, 147.5979931189798 -18.39646593023327))",0,33,0
163,163,,,,,,,,,,,67418008.95,,,,,,,,,,"POLYGON ((147.7376091226633 -18.39809707320956, 147.8078776437249 -18.36059402910799, 147.877228111084 -18.39960864119962, 147.8763449867386 -18.47615610578955, 147.8060386643522 -18.51368819775468, 147.7366532691325 -18.47464376248615, 147.7376091226633 -18.39809707320956))",0,2,0
164,164,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.877228111084 -18.39960864119962, 147.9474617020705 -18.36204543617361, 148.0168498571953 -18.40100063057194, 148.0160394663477 -18.47754880915442, 147.9457681854992 -18.51514109412771, 147.8763449867386 -18.47615610578955, 147.877228111084 -18.39960864119962))",0,0,0
165,165,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0168498571953 -18.40100063057194, 148.087048402509 -18.36337729355224, 148.1564741339237 -18.40227303798202, 148.155736480531 -18.47882186923118, 148.0855003570087 -18.51647431816707, 148.0160394663477 -18.47754880915442, 148.0168498571953 -18.40100063057194))",0,0,0
166,166,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.1564741339237 -18.40227303798202, 148.2266375181314 -18.36458959804563, 148.2961007141708 -18.40342586037259, 148.2954358018353 -18.47997528295801, 148.2252349512616 -18.51768786666479, 148.155736480531 -18.47882186923118, 148.1564741339237 -18.40227303798202))",0,0,0
167,167,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.2961007141708 -18.40342586037259, 148.3662288220052 -18.36568234674219, 148.4357293708161 -18.40445909497366, 148.4351372027847 -18.48100904756064, 148.3649717406152 -18.51878173670044, 148.2954358018353 -18.47997528295801, 148.2961007141708 -18.40342586037259))",0,0,0
168,168,,,,,,,34205070.34,,,,,67999249.94,,,,,,,,,"POLYGON ((145.9954900538777 -18.25431591370166, 146.0661295460476 -18.21756562183864, 146.1349465988957 -18.25731950618445, 146.1331575798627 -18.33385382455871, 146.0624789728689 -18.37063273436486, 145.9936285026956 -18.33084869312932, 145.9954900538777 -18.25431591370166))",0,12,0
169,169,,,,,,,165801279,,,,,21695306.03,,,,,,,,,"POLYGON ((146.1349465988957 -18.25731950618445, 146.2055526693258 -18.22050875112896, 146.2744087239588 -18.26020367778755, 146.2726922457894 -18.33673947397733, 146.2020471692774 -18.37357888042057, 146.1331575798627 -18.33385382455871, 146.1349465988957 -18.25731950618445))",1,28,0
170,170,,,86718378.09,,,,65230738.2,,,,,,,2286714.661,493025.6862,,,,,,"POLYGON ((146.2744087239588 -18.26020367778755, 146.344981255369 -18.22333248659224, 146.413876203018 -18.26296842159638, 146.4122322740741 -18.33950563446025, 146.3416208455271 -18.37640551037654, 146.2726922457894 -18.33673947397733, 146.2744087239588 -18.26020367778755))",1,10,0
171,171,,,,,,,,,,,,,,,,,,,,,"POLYGON ((146.413876203018 -18.26296842159638, 146.4844150782777 -18.22603682146194, 146.5533488099724 -18.26561373098233, 146.5517774382628 -18.34215229936875, 146.4811997750133 -18.37911261744591, 146.4122322740741 -18.33950563446025, 146.413876203018 -18.26296842159638))",0,0,0
172,172,,,,,,,,119405309.3,,,,,,,,,9097838.695,,,,"POLYGON ((146.5533488099724 -18.26561373098233, 146.6238539121019 -18.22862174925714, 146.6928263186706 -18.26813959960247, 146.6913275118517 -18.34467946235049, 146.6207837310802 -18.38170019512811, 146.5517774382628 -18.34215229936875, 146.5533488099724 -18.26561373098233))",0,7,0
173,173,,,,,,,,110632306.9,,,,,,,,,76866381.35,,,,"POLYGON ((146.6928263186706 -18.26813959960247, 146.7632975308423 -18.23108726378275, 146.8323085029139 -18.27054602140012, 146.8308822682891 -18.34708711733955, 146.7603724870229 -18.38416823720952, 146.6913275118517 -18.34467946235049, 146.6928263186706 -18.26813959960247))",0,31,0
174,174,,,,,,,,140524381.8,,,,,,,,,46974772.1,,,,"POLYGON ((146.8323085029139 -18.27054602140012, 146.9027457084534 -18.23343335912937, 146.9717951364581 -18.27283299060448, 146.9704414809773 -18.34937525855653, 146.8999658160898 -18.38651673776284, 146.8308822682891 -18.34708711733955, 146.8323085029139 -18.27054602140012))",1,33,0
175,175,,,,,,,,187170095.4,,,,,,,,,329500.1229,,,,"POLYGON ((146.9717951364581 -18.27283299060448, 147.0421982188452 -18.23566002967357, 147.1112859930154 -18.27500050173085, 147.1100049232757 -18.35154388050847, 147.0395634914847 -18.38874569114774, 146.9704414809773 -18.34937525855653, 146.9717951364581 -18.27283299060448))",1,17,0
176,176,,,,,,,,124365442.6,,,61018703.3,,,,,,,,,2115867.394,"POLYGON ((147.1112859930154 -18.27500050173085, 147.1816548358857 -18.23776727007775, 147.2507808462569 -18.27704854958084, 147.249572368502 -18.35359297798914, 147.1791652863687 -18.39085509201053, 147.1100049232757 -18.35154388050847, 147.1112859930154 -18.27500050173085))",0,35,0
177,177,,,,,,,,1399049.383,,,135909301.3,,,,,,,,,856419.8884,"POLYGON ((147.2507808462569 -18.27704854958084, 147.3211153334025 -18.23975507529049, 147.3902794698151 -18.2789771292423, 147.3891435899351 -18.35552254607892, 147.3187709738631 -18.39284493528436, 147.249572368502 -18.35359297798914, 147.2507808462569 -18.27704854958084))",0,12,0
178,178,,,,,,,,,,,88863692.18,,,,,,,,,,"POLYGON ((147.3902794698151 -18.2789771292423, 147.4605794851859 -18.24162344054621, 147.5297816372854 -18.28078623608917, 147.5287183608172 -18.35733258014487, 147.458380327051 -18.39471521618963, 147.3891435899351 -18.35552254607892, 147.3902794698151 -18.2789771292423))",0,3,0
179,179,,,,,,,,,,,41007969.96,,,,,,,,,,"POLYGON ((147.5297816372854 -18.28078623608917, 147.6000470649903 -18.24337236136557, 147.6692871222288 -18.282475865782, 147.6682964543554 -18.359023075841, 147.5979931189798 -18.39646593023327, 147.5287183608172 -18.35733258014487, 147.5297816372854 -18.28078623608917))",0,0,0
180,180,,,,,,,,,,,195100.2599,,,,,,,,,,"POLYGON ((147.6692871222288 -18.282475865782, 147.7395178465369 -18.24500183355534, 147.8087956981741 -18.28404601426769, 147.8078776437249 -18.36059402910799, 147.7376091226633 -18.39809707320956, 147.6682964543554 -18.359023075841, 147.6692871222288 -18.282475865782))",0,0,0
181,181,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.8087956981741 -18.28404601426769, 147.8789916035155 -18.2465118532086, 147.9483071386198 -18.2854966777795, 147.9474617020705 -18.36204543617361, 147.877228111084 -18.39960864119962, 147.8078776437249 -18.36059402910799, 147.8087956981741 -18.28404601426769))",0,0,0
182,182,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.9483071386198 -18.2854966777795, 148.0184681095872 -18.24790241670462, 148.0878212170365 -18.2868278528372, 148.087048402509 -18.36337729355224, 148.0168498571953 -18.40100063057194, 147.9474617020705 -18.36204543617361, 147.9483071386198 -18.2854966777795))",0,0,0
183,183,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0878212170365 -18.2868278528372, 148.157947138386 -18.24917352070898, 148.2273377068692 -18.28803953624724, 148.2266375181314 -18.36458959804563, 148.1564741339237 -18.40227303798202, 148.087048402509 -18.36337729355224, 148.0878212170365 -18.2868278528372))",0,0,0
184,184,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.2273377068692 -18.28803953624724, 148.2974284635218 -18.25032516217366, 148.3668563815394 -18.28913172510249, 148.3662288220052 -18.36568234674219, 148.2961007141708 -18.40342586037259, 148.2266375181314 -18.36458959804563, 148.2273377068692 -18.28803953624724))",0,0,0
185,185,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.3668563815394 -18.28913172510249, 148.4369118585817 -18.25135733833693, 148.5063770144472 -18.2901044167825, 148.5058220871767 -18.36665553701755, 148.4357293708161 -18.40445909497366, 148.3662288220052 -18.36568234674219, 148.3668563815394 -18.28913172510249))",0,0,0
186,186,,,,,,,11704908.2,,,,,59942385.43,,,,,,,,,"POLYGON ((145.9286069669012 -18.13797016981945, 145.9992073532118 -18.10124845990132, 146.067951986848 -18.14103111869064, 146.0661295460476 -18.21756562183864, 145.9954900538777 -18.25431591370166, 145.9267121113805 -18.21450310577329, 145.9286069669012 -18.13797016981945))",0,5,0
187,187,,,,,,,183852015.7,,,,,,,3621068.227,,,,,,,"POLYGON ((146.067951986848 -18.14103111869064, 146.1385190598091 -18.10424897902836, 146.207302686543 -18.14397274182262, 146.2055526693258 -18.22050875112896, 146.1349465988957 -18.25731950618445, 146.0661295460476 -18.21756562183864, 146.067951986848 -18.14103111869064))",0,23,0
188,188,,,118088209.9,,,,64925470.55,,,,,,,82977.23894,2063029.216,,,,,,"POLYGON ((146.207302686543 -18.14397274182262, 146.2778363290771 -18.10713019935794, 146.3466588404914 -18.14679503217394, 146.344981255369 -18.22333248659224, 146.2744087239588 -18.26020367778755, 146.2055526693258 -18.22050875112896, 146.207302686543 -18.14397274182262))",0,22,0
189,189,,,1785032.478,,,,,,,,,,,,,,,,,,"POLYGON ((146.3466588404914 -18.14679503217394, 146.4171589356697 -18.10989211399614, 146.4860202231455 -18.14949798298811, 146.4844150782777 -18.22603682146194, 146.413876203018 -18.26296842159638, 146.344981255369 -18.22333248659224, 146.3466588404914 -18.14679503217394))",0,0,0
190,190,,,,,,,,126070610.2,,,,,,,,,,,,,"POLYGON ((146.4860202231455 -18.14949798298811, 146.556486654189 -18.11253471633426, 146.6253866089066 -18.15208158779399, 146.6238539121019 -18.22862174925714, 146.5533488099724 -18.26561373098233, 146.4844150782777 -18.22603682146194, 146.4860202231455 -18.14949798298811))",0,2,0
191,191,,,,,,,,114438795.5,,,,,,,,,73036505.29,,,,"POLYGON ((146.6253866089066 -18.15208158779399, 146.6958192591875 -18.11505800004856, 146.7647577721276 -18.15454584040585, 146.7632975308423 -18.23108726378275, 146.6928263186706 -18.26813959960247, 146.6238539121019 -18.22862174925714, 146.6253866089066 -18.15208158779399))",0,25,0
192,192,,,,,,,,151281867.6,,,,,,,,,36193925.38,,,,"POLYGON ((146.7647577721276 -18.15454584040585, 146.83515652517 -18.11746195910033, 146.9041334871147 -18.15689073492309, 146.9027457084534 -18.23343335912937, 146.8323085029139 -18.27054602140012, 146.7632975308423 -18.23108726378275, 146.7647577721276 -18.15454584040585))",0,30,0
193,193,,,,,,,,168640022.9,,,3329080.555,,,,,,,,,15507156.99,"POLYGON ((146.9041334871147 -18.15689073492309, 146.9744982265964 -18.11974658773624, 147.0435135281301 -18.15911626573067, 147.0421982188452 -18.23566002967357, 146.9717951364581 -18.27283299060448, 146.9027457084534 -18.23343335912937, 146.9041334871147 -18.15689073492309))",0,34,0
194,194,,,,,,,,51926114.18,,,128416621.6,,,,,,,,,873928.0285,"POLYGON ((147.0435135281301 -18.15911626573067, 147.113844137883 -18.121911880488, 147.1828976693937 -18.16122242749923, 147.1816548358857 -18.23776727007775, 147.1112859930154 -18.27500050173085, 147.0421982188452 -18.23566002967357, 147.0435135281301 -18.15911626573067))",1,24,0
195,195,,,,,,,,,,,25784340.73,,,,,,,,,,"POLYGON ((147.1828976693937 -18.16122242749923, 147.2531940334055 -18.12395783217283, 147.3222856850857 -18.16320921518476, 147.3211153334025 -18.23975507529049, 147.2507808462569 -18.27704854958084, 147.1816548358857 -18.23776727007775, 147.1828976693937 -18.16122242749923))",0,0,0
196,196,,,,,,,,,,,,,,,,,,,,4903141.301,"POLYGON ((147.3222856850857 -18.16320921518476, 147.3925476875009 -18.12588443789332, 147.4616773493486 -18.16507662402892, 147.4605794851859 -18.24162344054621, 147.3902794698151 -18.2789771292423, 147.3211153334025 -18.23975507529049, 147.3222856850857 -18.16320921518476))",0,0,0
197,197,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.4616773493486 -18.16507662402892, 147.5319048744694 -18.12769169303741, 147.6010724362893 -18.166824649559, 147.6000470649903 -18.24337236136557, 147.5297816372854 -18.28078623608917, 147.4605794851859 -18.24162344054621, 147.4616773493486 -18.16507662402892))",0,0,0
198,198,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.6010724362893 -18.166824649559, 147.6712653685771 -18.12937959327855, 147.7404707199814 -18.16845328758817, 147.7395178465369 -18.24500183355534, 147.6692871222288 -18.282475865782, 147.6000470649903 -18.24337236136557, 147.6010724362893 -18.166824649559))",0,0,0
199,199,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.7404707199814 -18.16845328758817, 147.8106289440579 -18.13094813457578, 147.8798719744675 -18.1699625342154, 147.8789916035155 -18.2465118532086, 147.8087956981741 -18.28404601426769, 147.7395178465369 -18.24500183355534, 147.7404707199814 -18.16845328758817))",0,0,0
200,200,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.8798719744675 -18.1699625342154, 147.9499953751156 -18.13239731317372, 148.0192759737613 -18.17135238582528, 148.0184681095872 -18.24790241670462, 147.9483071386198 -18.2854966777795, 147.8789916035155 -18.2465118532086, 147.8798719744675 -18.1699625342154))",0,0,0
201,201,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0192759737613 -18.17135238582528, 148.0893644359263 -18.13372712560267, 148.1586824918497 -18.17262283908849, 148.157947138386 -18.24917352070898, 148.0878212170365 -18.2868278528372, 148.0184681095872 -18.24790241670462, 148.0192759737613 -18.17135238582528))",0,0,0
202,202,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.1586824918497 -18.17262283908849, 148.2287359006407 -18.13493756867858, 148.2980913026952 -18.17377389096151, 148.2974284635218 -18.25032516217366, 148.2273377068692 -18.28803953624724, 148.157947138386 -18.24917352070898, 148.1586824918497 -18.17262283908849))",0,0,0
203,203,,,,,,,75068200.12,,,,,67165735.87,,,,,,,,,"POLYGON ((146.0010631073895 -18.02471379000117, 146.0715911916429 -17.98796022979993, 146.1403025074812 -18.02771277471395, 146.1385190598091 -18.10424897902836, 146.067951986848 -18.14103111869064, 145.9992073532118 -18.10124845990132, 146.0010631073895 -18.02471379000117))",0,12,0
204,204,,,82679727.41,,,,102603045.4,,,,,,,2166696.305,,,,,,,"POLYGON ((146.1403025074812 -18.02771277471395, 146.2107972695495 -17.9908988450515, 146.2795474615831 -18.03059252158062, 146.2778363290771 -18.10713019935794, 146.207302686543 -18.14397274182262, 146.1385190598091 -18.10424897902836, 146.1403025074812 -18.02771277471395))",1,25,0
205,205,,,54524566.48,,,,,,,,,,,,,,,,,,"POLYGON ((146.2795474615831 -18.03059252158062, 146.3500087847394 -17.9937182494355, 146.4187977447001 -18.03335302371756, 146.4171589356697 -18.10989211399614, 146.3466588404914 -18.14679503217394, 146.2778363290771 -18.10713019935794, 146.2795474615831 -18.03059252158062))",0,0,0
206,206,,,,,,,,37062634.29,,,,,,,,,62480433.05,,,,"POLYGON ((146.4187977447001 -18.03335302371756, 146.4892255123659 -17.99641843621576, 146.5580531317844 -18.03599427452606, 146.556486654189 -18.11253471633426, 146.4860202231455 -18.14949798298811, 146.4171589356697 -18.10989211399614, 146.4187977447001 -18.03335302371756))",0,5,0
207,207,,,,,,,,140812355.3,,,,,,,,,46638825.39,,,,"POLYGON ((146.5580531317844 -18.03599427452606, 146.6284472275314 -17.99899939894062, 146.6973133977392 -18.03851626769176, 146.6958192591875 -18.11505800004856, 146.6253866089066 -18.15208158779399, 146.556486654189 -18.11253471633426, 146.5580531317844 -18.03599427452606))",0,28,0
208,208,,,,,,,,142545508.6,,,,,,,,,44106297.65,,,799893.8486,"POLYGON ((146.6973133977392 -18.03851626769176, 146.7676737052903 -18.00146113144267, 146.8365783174203 -18.0409189971851, 146.83515652517 -18.11746195910033, 146.7647577721276 -18.15454584040585, 146.6958192591875 -18.11505800004856, 146.6973133977392 -18.03851626769176))",0,17,0
209,209,,,,,,,,107351234.4,,,51801520.3,,,,,,8878824.358,,,19420614.96,"POLYGON ((146.8365783174203 -18.0409189971851, 146.9069047206505 -18.0038036278392, 146.9758476656382 -18.04320245726133, 146.9744982265964 -18.11974658773624, 146.9041334871147 -18.15689073492309, 146.83515652517 -18.11746195910033, 146.8365783174203 -18.0409189971851))",0,22,0
210,210,,,,,,,,972549.11,,,137725820.3,,,,,,,,,,"POLYGON ((146.9758476656382 -18.04320245726133, 147.046140048576 -18.00602688253205, 147.1151212171604 -18.04536664246042, 147.113844137883 -18.121911880488, 147.0435135281301 -18.15911626573067, 146.9744982265964 -18.11974658773624, 146.9758476656382 -18.04320245726133))",0,14,0
211,211,,,,,,,,,,,2497517.771,,,,,,,,,,"POLYGON ((147.1151212171604 -18.04536664246042, 147.1853794639891 -18.00813089020762, 147.2543987467138 -18.0474115476073, 147.2531940334055 -18.12395783217283, 147.1828976693937 -18.16122242749923, 147.113844137883 -18.121911880488, 147.1151212171604 -18.04536664246042))",0,0,0
212,212,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.2543987467138 -18.0474115476073, 147.324622741772 -18.01011564583711, 147.3936800289863 -18.04933716781194, 147.3925476875009 -18.12588443789332, 147.3222856850857 -18.16320921518476, 147.2531940334055 -18.12395783217283, 147.2543987467138 -18.0474115476073))",0,0,0
213,213,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.3936800289863 -18.04933716781194, 147.4638696567699 -18.01198114467649, 147.5329648386297 -18.05114349846919, 147.5319048744694 -18.12769169303741, 147.4616773493486 -18.16507662402892, 147.3925476875009 -18.12588443789332, 147.3936800289863 -18.04933716781194))",0,0,0
214,214,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.5329648386297 -18.05114349846919, 147.6031199837924 -18.01372738226656, 147.6722529502615 -18.05283053525901, 147.6712653685771 -18.12937959327855, 147.6010724362893 -18.166824649559, 147.5319048744694 -18.12769169303741, 147.5329648386297 -18.05114349846919))",0,0,0
215,215,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.6722529502615 -18.05283053525901, 147.742373497616 -18.01535435443295, 147.8115441384669 -18.05439827414652, 147.8106289440579 -18.13094813457578, 147.7404707199814 -18.16845328758817, 147.6712653685771 -18.12937959327855, 147.6722529502615 -18.05283053525901))",0,0,0
216,216,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.8115441384669 -18.05439827414652, 147.8816299729864 -18.01686205728623, 147.9508381778014 -18.05584671138205, 147.9499953751156 -18.13239731317372, 147.8798719744675 -18.1699625342154, 147.8106289440579 -18.13094813457578, 147.8115441384669 -18.05439827414652))",0,0,0
217,217,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.9508381778014 -18.05584671138205, 148.0208891846203 -18.01825048722203, 148.0901348427928 -18.05717584350089, 148.0893644359263 -18.13372712560267, 148.0192759737613 -18.17135238582528, 147.9499953751156 -18.13239731317372, 147.9508381778014 -18.05584671138205))",0,0,0
218,218,,,40524639.45,,,,78420574.68,,,,,42273190.45,,4741803.224,,,,,,,"POLYGON ((146.0734079615276 -17.9114238485402, 146.1438638516895 -17.87463849581365, 146.2125418409954 -17.91436096206476, 146.2107972695495 -17.9908988450515, 146.1403025074812 -18.02771277471395, 146.071591191643 -17.98796022979993, 146.0734079615276 -17.9114238485402))",1,30,0
219,219,,,127034144.1,,,,,,,,,,,,,,,,,,"POLYGON ((146.2125418409955 -17.91436096206476, 146.282964400339 -17.87751530009014, 146.3516811492881 -17.91717892558876, 146.3500087847394 -17.9937182494355, 146.2795474615831 -18.03059252158062, 146.2107972695495 -17.9908988450515, 146.2125418409955 -17.91436096206476))",0,6,0
220,220,,,,,,,,28983537.97,,,,,,,,,,,,,"POLYGON ((146.3516811492881 -17.91717892558876, 146.4220702614355 -17.88027298138119, 146.4908256619078 -17.9198777323862, 146.4892255123659 -17.99641843621576, 146.4187977447001 -18.03335302371756, 146.3500087847394 -17.9937182494355, 146.3516811492881 -17.91717892558876))",0,0,0
221,221,,,,,,,,136801954,,,,,,,,,50624374.53,,,,"POLYGON ((146.4908256619078 -17.9198777323862, 146.5611812106302 -17.88291153310777, 146.629975154307 -17.92245737601488, 146.6284472275314 -17.99899939894062, 146.5580531317844 -18.03599427452606, 146.4892255123659 -17.99641843621576, 146.4908256619078 -17.9198777323862))",0,29,0
222,222,,,,,,,,187070812.7,,,,,,,,,356063.2573,,,,"POLYGON ((146.629975154307 -17.92245737601488, 146.7002970235256 -17.88543094897441, 146.7691294018893 -17.92491785031678, 146.7676737052903 -18.00146113144267, 146.6973133977392 -18.03851626769176, 146.6284472275314 -17.99899939894062, 146.629975154307 -17.92245737601488))",0,18,0
223,223,,,,,,,,77923804.24,,,72580561.4,,,,,,2755231.169,,,14915512.84,"POLYGON ((146.7691294018893 -17.92491785031678, 146.8394174756767 -17.88783122296971, 146.9082881800127 -17.92725914941803, 146.9069047206505 -18.0038036278392, 146.8365783174203 -18.0409189971851, 146.7676737052903 -18.00146113144267, 146.7691294018893 -17.92491785031678))",0,25,0
224,224,,,,,,,,,,,27900090,,,,,,,,,,"POLYGON ((146.9082881800127 -17.92725914941803, 146.9785423425936 -17.89011234936608, 147.0474512639908 -17.92948126772881, 147.046140048576 -18.00602688253205, 146.9758476656382 -18.04320245726133, 146.9069047206505 -18.0038036278392, 146.9082881800127 -17.92725914941803))",0,0,0
