id,cost,status,xloc,yloc
105,1,0,146.753033159098,-18.766859431083397
106,1,0,146.892990691855,-18.7692139654202
107,1,0,147.032952605056,-18.771448645618104
108,1,0,147.17291867008302,-18.773563466282802
109,1,0,147.312888658276,-18.775558422309306
110,1,0,147.45286234094,-18.7774335088815
111,1,0,147.592839489341,-18.7791887214725
112,1,0,147.73281987471202,-18.7808240558446
113,1,0,147.872803268252,-18.7823395080495
114,1,0,148.012789441135,-18.783735074428
115,1,0,148.15277816450399,-18.7850107516103
116,1,0,148.292769209477,-18.786166536516106
117,1,0,148.432762347153,-18.7872024263542
118,1,0,146.265808430606,-18.6428761125178
119,1,0,146.405639411819,-18.64564795365
120,1,0,146.545475561139,-18.6483000540005
121,1,0,146.68531665064398,-18.6508324071786
122,1,0,146.825162452364,-18.6532450070816
123,1,0,146.96501273828002,-18.6555378478952
124,1,0,147.104867280332,-18.6577109240933
125,1,0,147.244725850417,-18.6597642304381
126,1,0,147.384588220393,-18.6616977619802
127,1,0,147.52445416208,-18.6635115140588
128,1,0,147.664323447264,-18.6652054823015
129,1,0,147.804195847698,-18.666779662624396
130,1,0,147.944071135105,-18.6682340512325
131,1,0,148.083949081178,-18.6695686446192
132,1,0,148.223829457585,-18.67078343956669
133,1,0,148.363712035971,-18.671878433146
134,1,0,146.19853436276,-18.5266462693628
135,1,0,146.338253431357,-18.5294757994921
136,1,0,146.477977769629,-18.5321856842019
137,1,0,146.617707150212,-18.5347759169724
138,1,0,146.757441345693,-18.5372464915708
139,1,0,146.897180128612,-18.5395974020523
140,1,0,147.03692327146098,-18.541828642759302
141,1,0,147.176670546695,-18.543940208322105
142,1,0,147.316421726723,-18.545932093658603
143,1,0,147.45617658392,-18.5478042939745
144,1,0,147.59593489062098,-18.549556804763398
145,1,0,147.735696419133,-18.5511896218068
146,1,0,147.875460941725,-18.5527027411741
147,1,0,148.01522823064101,-18.5540961592227
148,1,0,148.154998058097,-18.555369872598103
149,1,0,148.29477019628402,-18.5565238782337
150,1,0,148.43454441737,-18.5575581733511
151,1,0,146.131366697908,-18.4103873045112
152,1,0,146.270973980166,-18.4132744331735
153,1,0,146.41058663316005,-18.4160420116997
154,1,0,146.550204430085,-18.418690033440896
155,1,0,146.689827144082,-18.4212184920353
156,1,0,146.829454548246,-18.423627381408
157,1,0,146.969086415625,-18.425916695770603
158,1,0,147.108722519225,-18.428086429622
159,1,0,147.24836263201001,-18.4301365777481
160,1,0,147.38800652690398,-18.4320671352219
161,1,0,147.527653976796,-18.4338780974035
162,1,0,147.66730475453699,-18.4355694599403
163,1,0,147.806958632949,-18.4371412187669
164,1,0,147.946615384823,-18.4385933701053
165,1,0,148.08627478291902,-18.43992591046469
166,1,0,148.225936599976,-18.4411388366421
167,1,0,148.365600608705,-18.4422321457214
168,1,0,146.064305209041,-18.2940992902702
169,1,0,146.203800831185,-18.2970439271728
170,1,0,146.343301924623,-18.299869109143106
171,1,0,146.482808263103,-18.3025748294045
172,1,0,146.622319620323,-18.305161081466398
173,1,0,146.761835769932,-18.3076278591242
174,1,0,146.90135648553004,-18.3099751564597
175,1,0,147.040881540676,-18.312202967841106
176,1,0,147.18041070888398,-18.31431128792261
177,1,0,147.319943763629,-18.3163001116452
178,1,0,147.459480478348,-18.3181694342362
179,1,0,147.599020626443,-18.319919251209487
180,1,0,147.738563981281,-18.3215495583655
181,1,0,147.87811031619802,-18.3230603517916
182,1,0,148.017659404503,-18.324451627861396
183,1,0,148.157211019476,-18.3257233832355
184,1,0,148.296764934373,-18.3268756148613
185,1,0,148.436320922428,-18.327908319972998
186,1,0,145.99734966971099,-18.1777822987929
187,1,0,146.136733757912,-18.1807843538136
188,1,0,146.276123417461,-18.183667049026802
189,1,0,146.415518422662,-18.1864303775284
190,1,0,146.554918547766,-18.189074332699498
191,1,0,146.694323566973,-18.191598908207
192,1,0,146.83373325443702,-18.194004098003106
193,1,0,146.97314738426599,-18.1962898963258
194,1,0,147.112565730526,-18.198456297698602
195,1,0,147.25198806723802,-18.200503296931
196,1,0,147.39141416838999,-18.202430889118
197,1,0,147.53084380792802,-18.2042390696408
198,1,0,147.670276759767,-18.2059278341662
199,1,0,147.809712797789,-18.2074971786473
200,1,0,147.949151695844,-18.2089470993231
201,1,0,148.088593227758,-18.2102775927185
202,1,0,148.22803716732702,-18.2114886556448
203,1,0,146.069772534397,-18.0644957852661
204,1,0,146.209050885674,-18.067435903691003
205,1,0,146.34833468271003,-18.070256750322798
206,1,0,146.487623700309,-18.0729583184152
207,1,0,146.626917713223,-18.07554060150689
208,1,0,146.766216496156,-18.0780035934211
209,1,0,146.905519823765,-18.0803472882665
210,1,0,147.04482747066402,-18.0825716804362
211,1,0,147.184139211424,-18.0846767646088
212,1,0,147.32345482057698,-18.086662535748104
213,1,0,147.462774072618,-18.088528989102603
214,1,0,147.602096742003,-18.0902761202067
215,1,0,147.74142260316003,-18.0919039248795
216,1,0,147.880751430483,-18.09341239922589
217,1,0,148.020082998336,-18.0948015396361
218,1,0,146.142084103814,-17.951175745322
219,1,0,146.281256817749,-17.954054020143897
220,1,0,146.420434852406,-17.9568131111393
221,1,0,146.559617983088,-17.959453011719198
222,1,0,146.698805985047,-17.9619737155787
223,1,0,146.83799863349,-17.964375216697302
224,1,0,146.977195703577,-17.966657509339
225,1,0,147.116396970426,-17.968820588051802
226,1,0,147.255602209114,-17.9708644476685
227,1,0,147.39481119468002,-17.9727890833063
228,1,0,147.534023702126,-17.974594490367
229,1,0,147.67323950642,-17.9762806645371
230,1,0,147.81245838249902,-17.9778476017876
231,1,0,146.075222846987,-17.834886645952803
232,1,0,146.21428460283101,-17.8378222591942
233,1,0,146.35335177905898,-17.840638783243502
234,1,0,146.49242415152202,-17.843336211384898
235,1,0,146.63150149601998,-17.845914537185898
236,1,0,146.770583588307,-17.8483737544976
237,1,0,146.909670204088,-17.850713857455002
238,1,0,147.048761119029,-17.8529348404767
239,1,0,147.187856108748,-17.8550366982649
240,1,0,147.326954948829,-17.857019425806
241,1,0,147.46605741481702,-17.85888301837
242,1,0,147.605163282219,-17.8606274715113
243,1,0,146.147417813559,-17.7215615395227
244,1,0,146.286374255819,-17.724435406945894
245,1,0,146.425335994027,-17.727190272890898
246,1,0,146.56430280453,-17.7298261307983
247,1,0,146.703274463626,-17.7323429743916
248,1,0,146.842250747568,-17.7347407976773
249,1,0,146.981231432561,-17.7370195949449
250,1,0,147.120216294771,-17.739179360767103
251,1,0,147.259205110321,-17.7412200899998
252,1,0,147.398197655296,-17.74314177778211
253,1,0,146.080656226083,-17.605271933026106
254,1,0,146.219502058785,-17.6082030543115
255,1,0,146.358353286653,-17.6110152684708
256,1,0,146.497209686579,-17.6137085688179
257,1,0,146.636071035405,-17.616282948949394
258,1,0,146.774937109928,-17.618738402744
259,1,0,146.913807686896,-17.6210749243628
260,1,0,147.052682543015,-17.623292508249396
261,1,0,147.19156145495,-17.62539114913
262,1,0,147.330444199328,-17.627370842013303
263,1,0,146.013999617101,-17.4889535114487
264,1,0,146.152734964603,-17.4919417972529
265,1,0,146.291475805996,-17.494811270205
266,1,0,146.430221918714,-17.497561923493098
267,1,0,146.56897308014499,-17.5001937505874
268,1,0,146.707729067625,-17.5027067452393
269,1,0,146.846489658447,-17.5051009014823
270,1,0,146.985254629855,-17.5073762136314
271,1,0,147.124023759056,-17.5095326762836
272,1,0,145.947447763857,-17.3726063463831
273,1,0,146.086072750464,-17.375651707530402
274,1,0,146.224703329193,-17.3785783500215
275,1,0,146.363339278024,-17.3813862669196
276,1,0,146.501980374886,-17.384075451568698
