habitat,id1,id2,value
cobble,pu_048,pu_007,0.0
cobble,pu_049,pu_007,0.0
cobble,pu_050,pu_007,0.0
cobble,pu_051,pu_007,2.7226e-06
cobble,pu_052,pu_007,2.7430000000000002e-06
cobble,pu_053,pu_007,0.0
cobble,pu_054,pu_007,0.0
cobble,pu_055,pu_007,0.0
cobble,pu_056,pu_007,0.0
cobble,pu_057,pu_007,2.6765e-06
cobble,pu_058,pu_007,2.6963e-06
cobble,pu_059,pu_007,2.7163e-06
cobble,pu_060,pu_007,0.0
cobble,pu_061,pu_007,0.0
cobble,pu_062,pu_007,0.0
cobble,pu_063,pu_007,0.0
cobble,pu_064,pu_007,0.0
cobble,pu_065,pu_007,2.6509e-06
cobble,pu_066,pu_007,2.6703e-06
cobble,pu_067,pu_007,2.69e-06
cobble,pu_068,pu_007,0.0
cobble,pu_069,pu_007,0.0
cobble,pu_070,pu_007,0.0
cobble,pu_071,pu_007,0.0
cobble,pu_072,pu_007,0.0
cobble,pu_073,pu_007,2.6448e-06
cobble,pu_074,pu_007,2.6641e-06
cobble,pu_075,pu_007,2.6641e-06
cobble,pu_076,pu_007,0.0
cobble,pu_077,pu_007,0.0
cobble,pu_078,pu_007,0.0
cobble,pu_079,pu_007,0.0
cobble,pu_080,pu_007,0.0
cobble,pu_001,pu_008,0.0
cobble,pu_002,pu_008,0.0
cobble,pu_003,pu_008,0.0
cobble,pu_004,pu_008,0.0
cobble,pu_005,pu_008,0.0
cobble,pu_006,pu_008,0.0482824091
cobble,pu_007,pu_008,0.1931296364
cobble,pu_008,pu_008,0.0
cobble,pu_009,pu_008,0.0
cobble,pu_010,pu_008,0.0
cobble,pu_011,pu_008,0.0
cobble,pu_012,pu_008,0.0
cobble,pu_013,pu_008,0.0177385286
cobble,pu_014,pu_008,0.0364661949
cobble,pu_015,pu_008,0.0
cobble,pu_016,pu_008,0.0
cobble,pu_017,pu_008,0.0
cobble,pu_018,pu_008,0.0
cobble,pu_019,pu_008,0.0
cobble,pu_020,pu_008,0.0
cobble,pu_021,pu_008,0.0
cobble,pu_022,pu_008,0.0
cobble,pu_023,pu_008,0.0
cobble,pu_024,pu_008,0.0
cobble,pu_025,pu_008,0.0
cobble,pu_026,pu_008,0.0
cobble,pu_027,pu_008,0.0
cobble,pu_028,pu_008,0.0
cobble,pu_029,pu_008,0.0
cobble,pu_030,pu_008,0.0
cobble,pu_031,pu_008,0.0
cobble,pu_032,pu_008,0.0
cobble,pu_033,pu_008,0.0
cobble,pu_034,pu_008,0.0
cobble,pu_035,pu_008,0.0
cobble,pu_036,pu_008,0.0
cobble,pu_037,pu_008,2.7764000000000002e-06
cobble,pu_038,pu_008,2.7764000000000002e-06
cobble,pu_039,pu_008,0.0
cobble,pu_040,pu_008,0.0
cobble,pu_041,pu_008,0.0
cobble,pu_042,pu_008,0.0
cobble,pu_043,pu_008,0.0
cobble,pu_044,pu_008,2.7492000000000003e-06
cobble,pu_045,pu_008,2.7492000000000003e-06
cobble,pu_046,pu_008,2.7492000000000003e-06
cobble,pu_047,pu_008,0.0
cobble,pu_048,pu_008,0.0
cobble,pu_049,pu_008,0.0
cobble,pu_050,pu_008,0.0
cobble,pu_051,pu_008,2.7023e-06
cobble,pu_052,pu_008,2.7224e-06
cobble,pu_053,pu_008,0.0
cobble,pu_054,pu_008,0.0
cobble,pu_055,pu_008,0.0
cobble,pu_056,pu_008,0.0
cobble,pu_057,pu_008,2.6567e-06
cobble,pu_058,pu_008,2.6763e-06
cobble,pu_059,pu_008,2.6961e-06
cobble,pu_060,pu_008,0.0
cobble,pu_061,pu_008,0.0
cobble,pu_062,pu_008,0.0
cobble,pu_063,pu_008,0.0
cobble,pu_064,pu_008,0.0
cobble,pu_065,pu_008,2.6313e-06
cobble,pu_066,pu_008,2.6506e-06
cobble,pu_067,pu_008,2.6701e-06
cobble,pu_068,pu_008,0.0
cobble,pu_069,pu_008,0.0
cobble,pu_070,pu_008,0.0
cobble,pu_071,pu_008,0.0
cobble,pu_072,pu_008,0.0
cobble,pu_073,pu_008,2.6253e-06
cobble,pu_074,pu_008,2.6445000000000003e-06
cobble,pu_075,pu_008,2.6445000000000003e-06
cobble,pu_076,pu_008,0.0
cobble,pu_077,pu_008,0.0
cobble,pu_078,pu_008,0.0
cobble,pu_079,pu_008,0.0
cobble,pu_080,pu_008,0.0
cobble,pu_001,pu_009,0.0
cobble,pu_002,pu_009,0.0
cobble,pu_003,pu_009,0.0
cobble,pu_004,pu_009,0.0
cobble,pu_005,pu_009,0.0
cobble,pu_006,pu_009,0.0
cobble,pu_007,pu_009,0.0
cobble,pu_008,pu_009,0.0
cobble,pu_009,pu_009,0.0
cobble,pu_010,pu_009,0.0
cobble,pu_011,pu_009,0.0
cobble,pu_012,pu_009,0.0
cobble,pu_013,pu_009,0.0
cobble,pu_014,pu_009,0.0
cobble,pu_015,pu_009,0.0
cobble,pu_016,pu_009,0.0
cobble,pu_017,pu_009,0.0
cobble,pu_018,pu_009,0.0
cobble,pu_019,pu_009,0.0
cobble,pu_020,pu_009,0.0
cobble,pu_021,pu_009,0.0
cobble,pu_022,pu_009,0.0
cobble,pu_023,pu_009,0.0
cobble,pu_024,pu_009,0.0
cobble,pu_025,pu_009,0.0
cobble,pu_026,pu_009,0.0
cobble,pu_027,pu_009,0.0
cobble,pu_028,pu_009,0.0
cobble,pu_029,pu_009,0.0
cobble,pu_030,pu_009,0.0
cobble,pu_031,pu_009,0.0
cobble,pu_032,pu_009,0.0
cobble,pu_033,pu_009,0.0
cobble,pu_034,pu_009,0.0
cobble,pu_035,pu_009,0.0
cobble,pu_036,pu_009,0.0
cobble,pu_037,pu_009,0.0
cobble,pu_038,pu_009,0.0
cobble,pu_039,pu_009,0.0
cobble,pu_040,pu_009,0.0
cobble,pu_041,pu_009,0.0
cobble,pu_042,pu_009,0.0
cobble,pu_043,pu_009,0.0
cobble,pu_044,pu_009,0.0
