time,id1,id2,value
2001,pu_002,pu_004,0.063503677
2001,pu_003,pu_004,0.18408024
2001,pu_004,pu_004,0.202115751
2001,pu_005,pu_004,0.027073809
2001,pu_006,pu_004,0.045264447
2001,pu_007,pu_004,0.130797033
2001,pu_008,pu_004,0.15258532
2001,pu_009,pu_004,-0.0026
2001,pu_010,pu_004,-0.0034
2001,pu_011,pu_004,0.003904187
2001,pu_012,pu_004,0.056577573
2001,pu_013,pu_004,-0.029
2001,pu_014,pu_004,-0.0272
2001,pu_015,pu_004,0.024332483
2001,pu_016,pu_004,0.021489893
2001,pu_001,pu_005,0.184015751
2001,pu_002,pu_005,0.17418024
2001,pu_003,pu_005,0.053685235
2001,pu_004,pu_005,0.040002381
2001,pu_005,pu_005,0.18258532
2001,pu_006,pu_005,0.141997033
2001,pu_007,pu_005,0.019964399
2001,pu_008,pu_005,0.021373658
2001,pu_009,pu_005,0.148800224
2001,pu_010,pu_005,0.122090697
2001,pu_011,pu_005,0.035921878
2001,pu_012,pu_005,0.012332246
2001,pu_013,pu_005,0.056694131
2001,pu_014,pu_005,0.02854067
2001,pu_015,pu_005,0.016996708
2001,pu_016,pu_005,-0.010286442
2001,pu_001,pu_006,0.181915751
2001,pu_002,pu_006,0.17208024
2001,pu_003,pu_006,0.16558024
2001,pu_004,pu_006,0.117167832
2001,pu_005,pu_006,0.15728532
2001,pu_006,pu_006,0.137197033
2001,pu_007,pu_006,0.134197033
2001,pu_008,pu_006,0.075916312
2001,pu_009,pu_006,0.157900224
2001,pu_010,pu_006,0.159990697
2001,pu_011,pu_006,0.114990697
2001,pu_012,pu_006,0.037516886
2001,pu_013,pu_006,0.044794131
2001,pu_014,pu_006,0.04824067
2001,pu_015,pu_006,0.03684067
2001,pu_016,pu_006,0.029468061
2001,pu_001,pu_007,0.098667832
2001,pu_002,pu_007,0.12808024
2001,pu_003,pu_007,0.18338024
2001,pu_004,pu_007,0.168215751
2001,pu_005,pu_007,0.093116312
2001,pu_006,pu_007,0.157097033
2001,pu_007,pu_007,0.129697033
2001,pu_008,pu_007,0.18368532
2001,pu_009,pu_007,0.038316886
2001,pu_010,pu_007,0.138590697
2001,pu_011,pu_007,0.121590697
2001,pu_012,pu_007,0.165500224
2001,pu_013,pu_007,0.062268061
2001,pu_014,pu_007,0.07394067
2001,pu_015,pu_007,0.07324067
2001,pu_016,pu_007,0.060994131
2001,pu_001,pu_008,0.053002381
2001,pu_002,pu_008,0.050785235
2001,pu_003,pu_008,0.14218024
2001,pu_004,pu_008,0.174815751
2001,pu_005,pu_008,0.030273658
2001,pu_006,pu_008,0.020764399
2001,pu_007,pu_008,0.157897033
2001,pu_008,pu_008,0.17338532
2001,pu_009,pu_008,0.022232246
2001,pu_010,pu_008,0.056921878
